epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,106.714,0.85754,0.85725,1.02972,0.36378,0.38778,0.33792,0.2794,0.76943,3.54573,0.96215,0.000187092,0.000187092,0.000187092
86,108.075,0.83086,0.84528,1.02674,0.37095,0.39856,0.34386,0.28479,0.74424,3.54541,0.95326,0.000176094,0.000176094,0.000176094
87,109.366,0.81732,0.87009,1.02259,0.36893,0.39962,0.34805,0.28571,0.72673,3.51901,0.94997,0.000165095,0.000165095,0.000165095
88,110.698,0.87179,0.84836,1.00657,0.36253,0.39475,0.35485,0.2918,0.71145,3.50816,0.94615,0.000154096,0.000154096,0.000154096
89,112.006,0.85729,0.88725,1.04854,0.36422,0.39702,0.35843,0.29485,0.70014,3.51219,0.94025,0.000143097,0.000143097,0.000143097
90,113.305,0.79045,0.87409,1.00778,0.3584,0.38785,0.36156,0.28863,0.67478,3.52174,0.92842,0.000132098,0.000132098,0.000132098
91,143.028,0.72361,1.01965,0.98679,0.35972,0.38785,0.35494,0.28423,0.658,3.59615,0.91882,0.000121099,0.000121099,0.000121099
92,144.302,0.68137,0.91412,0.95728,0.35623,0.37652,0.35457,0.28398,0.64965,3.62254,0.9149,0.0001101,0.0001101,0.0001101
93,145.576,0.77198,0.98986,1.00201,0.35704,0.37317,0.35228,0.28102,0.65262,3.6353,0.91415,9.91012e-05,9.91012e-05,9.91012e-05
94,146.85,0.69372,0.86887,0.94096,0.35809,0.37297,0.3505,0.2772,0.65403,3.65518,0.91188,8.81023e-05,8.81023e-05,8.81023e-05
95,148.113,0.67062,0.88286,0.96048,0.34621,0.36216,0.34733,0.27489,0.65048,3.69081,0.90591,7.71034e-05,7.71034e-05,7.71034e-05
96,149.373,0.65713,0.84929,0.94848,0.34672,0.36218,0.34369,0.27428,0.63344,3.7151,0.89758,6.61045e-05,6.61045e-05,6.61045e-05
97,150.629,0.69191,0.90601,0.96064,0.34772,0.36299,0.3427,0.27563,0.61575,3.76418,0.89163,5.51056e-05,5.51056e-05,5.51056e-05
98,151.824,0.82279,0.98078,1.07976,0.34922,0.36447,0.3394,0.27308,0.59685,3.79479,0.88653,4.41067e-05,4.41067e-05,4.41067e-05
99,153.038,0.67412,0.96724,0.9388,0.34901,0.3644,0.3386,0.27092,0.58222,3.83318,0.88336,3.31078e-05,3.31078e-05,3.31078e-05
100,154.326,0.7125,0.9467,0.96677,0.34967,0.36422,0.33805,0.2709,0.57328,3.86221,0.8812,2.21089e-05,2.21089e-05,2.21089e-05
